,name,price,time,volume
0,Bitcoin,9538.34,20200130162830,32110558622
1,Ethereum,184.11,20200130162830,12235452453
2,XRP,0.243996,20200130162830,2076911641
3,Bitcoin Cash,391.91,20200130162830,4002463817
4,Bitcoin SV,296.12,20200130162830,2649053463
5,Tether,1.00,20200130162830,43514954315
6,Litecoin,69.10,20200130162830,5916929702
7,EOS,4.32,20200130162830,4445336068
8,Binance Coin,18.59,20200130162830,246780228
9,Cardano,0.056774,20200130162830,158695278
10,Ethereum Classic,12.16,20200130162830,3450590002
11,TRON,0.019492,20200130162830,1576848355
12,Monero,72.46,20200130162830,84796387
13,Stellar,0.062851,20200130162830,332587318
14,Tezos,1.69,20200130162830,53233913
15,Dash,123.72,20200130162830,1218616100
16,Chainlink,2.92,20200130162830,191190873
17,UNUS SED LEO,0.883604,20200130162830,9082603
18,Cosmos,4.43,20200130162830,200407979
19,Neo,11.76,20200130162830,498859283
20,IOTA,0.296754,20200130162830,28101697
21,Huobi Token,3.49,20200130162830,236096319
22,HedgeTrade,2.59,20200130162830,982177
23,Crypto.com Coin,0.052723,20200130162830,4676092
24,Zcash,67.83,20200130162830,618665737
25,Maker,542.40,20200130162830,4114886
26,Ontology,0.732976,20200130162830,112006573
27,USD Coin,1.05,20200130162830,304241028
28,NEM,0.041817,20200130162830,30107216
29,Basic Attention Token,0.222735,20200130162830,60897008
30,VeChain,0.005702,20200130162830,122399833
31,Dogecoin,0.002426,20200130162830,83586324
32,FTX Token,2.42,20200130162830,10004389
33,Paxos Standard,1.00,20200130162830,486329822
34,Qtum,2.17,20200130162830,415832724
35,Decred,19.19,20200130162830,103077348
36,Bitcoin Gold,11.82,20200130162830,35944997
37,Synthetix Network Token,1.20,20200130162830,246149
38,Augur,14.75,20200130162830,23855268
39,Ravencoin,0.027805,20200130162830,9446306
40,0x,0.230600,20200130162830,15959677
41,TrueUSD,1.00,20200130162830,779264161
42,Molecular Future,1.56,20200130162830,12091783
43,Swipe,2.02,20200130162830,75570075
44,Algorand,0.241557,20200130162830,45293620
45,OKB,3.21,20200130162830,105812722
46,ZB Token,0.277002,20200130162830,61454569
47,OmiseGO,0.879816,20200130162830,44696652
48,ICON,0.233164,20200130162830,31687594
49,Lisk,0.985262,20200130162830,5748687
50,Bitcoin Diamond,0.642852,20200130162830,6005909
51,Multi-collateral DAI,1.02,20200130162830,17829836
52,Holo,0.000649,20200130162830,9631232
53,Nano,0.745152,20200130162830,4155377
54,KuCoin Shares,1.15,20200130162830,8224020
55,Horizen,11.38,20200130162830,1648261
56,MonaCoin,1.41,20200130162830,11181886
57,THETA,0.103298,20200130162830,2928369
58,Bytom,0.089284,20200130162830,10490649
59,Waves,0.864344,20200130162830,69909516
60,V Systems,0.044781,20200130162830,6032554
61,Nervos Network,0.006498,20200130162830,4488805
62,Zcoin,8.87,20200130162830,36094209
63,Nexo,0.144411,20200130162830,13100544
64,KickToken,0.000120,20200130162830,155317
65,DigiByte,0.006236,20200130162830,1364320
66,MCO,5.02,20200130162830,16101182
67,BitTorrent,0.000370,20200130162830,78429433
68,Enjin Coin,0.097181,20200130162830,10270957
69,Komodo,0.639951,20200130162830,2398965
70,Seele,0.104018,20200130162830,31285915
71,HyperCash,1.62,20200130162830,28010133
72,Centrality,0.067286,20200130162830,47352
73,Siacoin,0.001652,20200130162830,1096306
74,IOST,0.005621,20200130162830,30919038
75,DigixDAO,33.43,20200130162830,882386
76,Verge,0.003776,20200130162830,1133222
77,ABBC Coin,0.107223,20200130162830,42946878
78,Steem,0.164032,20200130162830,1326298
79,BitShares,0.021191,20200130162830,2849451
80,DxChain Token,0.001114,20200130162830,1289145
81,MaidSafeCoin,0.122377,20200130162830,321009
82,Bytecoin,0.000300,20200130162830,16503
83,iExec RLC,0.683556,20200130162830,2241756
84,Zilliqa,0.005547,20200130162830,7619864
85,Terra,0.188461,20200130162830,4212147
86,Quant,4.39,20200130162830,2536809
87,Kyber Network,0.303239,20200130162830,5704353
88,Aeternity,0.174356,20200130162830,8895095
89,RIF Token,0.087401,20200130162830,6422431
90,Matic Network,0.018111,20200130162830,31296259
91,Energi,1.81,20200130162830,451189
92,Ardor,0.045334,20200130162830,1928455
93,Electroneum,0.004435,20200130162830,187284
94,BlockStamp,1.59,20200130162830,138613
95,Yap Stone,0.276540,20200130162830,8559242
96,Crypterium,0.400598,20200130162830,165707
97,Status,0.010971,20200130162830,11795449
98,Beam,0.699660,20200130162830,31865661
99,Golem,0.038444,20200130162830,2031293
100,Bitcoin,9538.34,20200130162851,32110558622
101,Ethereum,184.11,20200130162851,12235452453
102,XRP,0.243996,20200130162851,2076911641
103,Bitcoin Cash,391.91,20200130162851,4002463817
104,Bitcoin SV,296.12,20200130162851,2649053463
105,Tether,1.00,20200130162851,43514954315
106,Litecoin,69.10,20200130162851,5916929702
107,EOS,4.32,20200130162851,4445336068
108,Binance Coin,18.59,20200130162851,246780228
109,Cardano,0.056774,20200130162851,158695278
110,Ethereum Classic,12.16,20200130162851,3450590002
111,TRON,0.019492,20200130162851,1576848355
112,Monero,72.46,20200130162851,84796387
113,Stellar,0.062851,20200130162851,332587318
114,Tezos,1.69,20200130162851,53233913
115,Dash,123.72,20200130162851,1218616100
116,Chainlink,2.92,20200130162851,191190873
117,UNUS SED LEO,0.883604,20200130162851,9082603
118,Cosmos,4.43,20200130162851,200407979
119,Neo,11.76,20200130162851,498859283
120,IOTA,0.296754,20200130162851,28101697
121,Huobi Token,3.49,20200130162851,236096319
122,HedgeTrade,2.59,20200130162851,982177
123,Crypto.com Coin,0.052723,20200130162851,4676092
124,Zcash,67.83,20200130162851,618665737
125,Maker,542.40,20200130162851,4114886
126,Ontology,0.732976,20200130162851,112006573
127,USD Coin,1.05,20200130162851,304241028
128,NEM,0.041817,20200130162851,30107216
129,Basic Attention Token,0.222735,20200130162851,60897008
130,VeChain,0.005702,20200130162851,122399833
131,Dogecoin,0.002426,20200130162851,83586324
132,FTX Token,2.42,20200130162851,10004389
133,Paxos Standard,1.00,20200130162851,486329822
134,Qtum,2.17,20200130162851,415832724
135,Decred,19.19,20200130162851,103077348
136,Bitcoin Gold,11.82,20200130162851,35944997
137,Synthetix Network Token,1.20,20200130162851,246149
138,Augur,14.75,20200130162851,23855268
139,Ravencoin,0.027805,20200130162851,9446306
140,0x,0.230600,20200130162851,15959677
141,TrueUSD,1.00,20200130162851,779264161
142,Molecular Future,1.56,20200130162851,12091783
143,Swipe,2.02,20200130162851,75570075
144,Algorand,0.241557,20200130162851,45293620
145,OKB,3.21,20200130162851,105812722
146,ZB Token,0.277002,20200130162851,61454569
147,OmiseGO,0.879816,20200130162851,44696652
148,ICON,0.233164,20200130162851,31687594
149,Lisk,0.985262,20200130162851,5748687
150,Bitcoin Diamond,0.642852,20200130162851,6005909
151,Multi-collateral DAI,1.02,20200130162851,17829836
152,Holo,0.000649,20200130162851,9631232
153,Nano,0.745152,20200130162851,4155377
154,KuCoin Shares,1.15,20200130162851,8224020
155,Horizen,11.38,20200130162851,1648261
156,MonaCoin,1.41,20200130162851,11181886
157,THETA,0.103298,20200130162851,2928369
158,Bytom,0.089284,20200130162851,10490649
159,Waves,0.864344,20200130162851,69909516
160,V Systems,0.044781,20200130162851,6032554
161,Nervos Network,0.006498,20200130162851,4488805
162,Zcoin,8.87,20200130162851,36094209
163,Nexo,0.144411,20200130162851,13100544
164,KickToken,0.000120,20200130162851,155317
165,DigiByte,0.006236,20200130162851,1364320
166,MCO,5.02,20200130162851,16101182
167,BitTorrent,0.000370,20200130162851,78429433
168,Enjin Coin,0.097181,20200130162851,10270957
169,Komodo,0.639951,20200130162851,2398965
170,Seele,0.104018,20200130162851,31285915
171,HyperCash,1.62,20200130162851,28010133
172,Centrality,0.067286,20200130162851,47352
173,Siacoin,0.001652,20200130162851,1096306
174,IOST,0.005621,20200130162851,30919038
175,DigixDAO,33.43,20200130162851,882386
176,Verge,0.003776,20200130162851,1133222
177,ABBC Coin,0.107223,20200130162851,42946878
178,Steem,0.164032,20200130162851,1326298
179,BitShares,0.021191,20200130162851,2849451
180,DxChain Token,0.001114,20200130162851,1289145
181,MaidSafeCoin,0.122377,20200130162851,321009
182,Bytecoin,0.000300,20200130162851,16503
183,iExec RLC,0.683556,20200130162851,2241756
184,Zilliqa,0.005547,20200130162851,7619864
185,Terra,0.188461,20200130162851,4212147
186,Quant,4.39,20200130162851,2536809
187,Kyber Network,0.303239,20200130162851,5704353
188,Aeternity,0.174356,20200130162851,8895095
189,RIF Token,0.087401,20200130162851,6422431
190,Matic Network,0.018111,20200130162851,31296259
191,Energi,1.81,20200130162851,451189
192,Ardor,0.045334,20200130162851,1928455
193,Electroneum,0.004435,20200130162851,187284
194,BlockStamp,1.59,20200130162851,138613
195,Yap Stone,0.276540,20200130162851,8559242
196,Crypterium,0.400598,20200130162851,165707
197,Status,0.010971,20200130162851,11795449
198,Beam,0.699660,20200130162851,31865661
199,Golem,0.038444,20200130162851,2031293
200,Bitcoin,9538.34,20200130162810,32110558622
201,Ethereum,184.12,20200130162810,12235705935
202,XRP,0.243800,20200130162810,2075303495
203,Bitcoin Cash,391.72,20200130162810,4000595087
204,Bitcoin SV,296.04,20200130162810,2648122076
205,Tether,1.00,20200130162810,43526357687
206,Litecoin,69.07,20200130162810,5913595614
207,EOS,4.31,20200130162810,4443226879
208,Binance Coin,18.59,20200130162810,246570561
209,Cardano,0.056816,20200130162810,158812024
210,Ethereum Classic,12.16,20200130162810,3451020173
211,TRON,0.019492,20200130162810,1576551181
212,Monero,72.40,20200130162810,84722994
213,Stellar,0.062804,20200130162810,332555858
214,Tezos,1.69,20200130162810,53219469
215,Dash,123.71,20200130162810,1219712037
216,Chainlink,2.92,20200130162810,191487963
217,UNUS SED LEO,0.882957,20200130162810,9088466
218,Cosmos,4.42,20200130162810,201044767
219,Neo,11.76,20200130162810,498937315
220,IOTA,0.296782,20200130162810,28130191
221,Huobi Token,3.49,20200130162810,235784261
222,HedgeTrade,2.59,20200130162810,982460
223,Crypto.com Coin,0.052666,20200130162810,4668298
224,Zcash,67.87,20200130162810,619524407
225,Maker,541.17,20200130162810,4104305
226,Ontology,0.732920,20200130162810,112254220
227,USD Coin,1.05,20200130162810,304245844
228,NEM,0.041828,20200130162810,30127717
229,Basic Attention Token,0.222550,20200130162810,60830070
230,VeChain,0.005699,20200130162810,122307190
231,Dogecoin,0.002428,20200130162810,83622917
232,FTX Token,2.42,20200130162810,10015944
233,Paxos Standard,1.00,20200130162810,486320891
234,Qtum,2.17,20200130162810,415955995
235,Decred,19.18,20200130162810,102974677
236,Bitcoin Gold,11.80,20200130162810,35898373
237,Synthetix Network Token,1.20,20200130162810,246160
238,Augur,14.74,20200130162810,23829897
239,Ravencoin,0.027799,20200130162810,9438655
240,0x,0.230511,20200130162810,15950214
241,TrueUSD,1.00,20200130162810,780408100
242,Molecular Future,1.56,20200130162810,12075364
243,Swipe,2.01,20200130162810,75816684
244,Algorand,0.241672,20200130162810,45324424
245,OKB,3.21,20200130162810,105794573
246,ZB Token,0.276834,20200130162810,61312472
247,OmiseGO,0.879625,20200130162810,44689481
248,Lisk,0.994338,20200130162810,5781819
249,ICON,0.233234,20200130162810,31822202
250,Bitcoin Diamond,0.645365,20200130162810,6001905
251,Multi-collateral DAI,1.02,20200130162810,17810307
252,Holo,0.000648,20200130162810,9619762
253,Nano,0.745582,20200130162810,4157536
254,KuCoin Shares,1.15,20200130162810,8223651
255,Horizen,11.37,20200130162810,1647507
256,MonaCoin,1.41,20200130162810,11105263
257,THETA,0.103252,20200130162810,2922785
258,Bytom,0.089379,20200130162810,10488819
259,Waves,0.863758,20200130162810,69901804
260,Nervos Network,0.006494,20200130162810,4491892
261,V Systems,0.044691,20200130162810,6024079
262,Zcoin,8.88,20200130162810,36112786
263,Nexo,0.144246,20200130162810,13113395
264,KickToken,0.000120,20200130162810,155308
265,DigiByte,0.006250,20200130162810,1366869
266,MCO,5.02,20200130162810,16104619
267,BitTorrent,0.000370,20200130162810,78497113
268,Enjin Coin,0.096964,20200130162810,10247466
269,Komodo,0.640110,20200130162810,2398572
270,Seele,0.104026,20200130162810,31297156
271,HyperCash,1.62,20200130162810,28076975
272,Centrality,0.067317,20200130162810,47391
273,Siacoin,0.001647,20200130162810,1093046
274,IOST,0.005618,20200130162810,30952449
275,DigixDAO,33.42,20200130162810,882449
276,Verge,0.003775,20200130162810,1132740
277,ABBC Coin,0.107256,20200130162810,42972042
278,Steem,0.163759,20200130162810,1325692
279,BitShares,0.021155,20200130162810,2846912
280,MaidSafeCoin,0.122488,20200130162810,321899
281,Bytecoin,0.000300,20200130162810,16510
282,DxChain Token,0.001102,20200130162810,1278124
283,Zilliqa,0.005552,20200130162810,7628794
284,iExec RLC,0.681653,20200130162810,2234801
285,Terra,0.188169,20200130162810,4206751
286,Quant,4.38,20200130162810,2533821
287,Kyber Network,0.302230,20200130162810,5704911
288,Aeternity,0.174356,20200130162810,8892675
289,RIF Token,0.087449,20200130162810,6423194
290,Matic Network,0.018116,20200130162810,31322079
291,Energi,1.81,20200130162810,451303
292,Ardor,0.045351,20200130162810,1925915
293,Electroneum,0.004435,20200130162810,187260
294,Yap Stone,0.279355,20200130162810,8657205
295,BlockStamp,1.59,20200130162810,137691
296,Crypterium,0.400304,20200130162810,164962
297,Status,0.010965,20200130162810,11791566
298,Beam,0.699740,20200130162810,31880383
299,Aidos Kuneen,1.51,20200130162810,4737248
300,Bitcoin,9538.34,20200130162841,32110558622
301,Ethereum,184.11,20200130162841,12235452453
302,XRP,0.243996,20200130162841,2076911641
303,Bitcoin Cash,391.91,20200130162841,4002463817
304,Bitcoin SV,296.12,20200130162841,2649053463
305,Tether,1.00,20200130162841,43514954315
306,Litecoin,69.10,20200130162841,5916929702
307,EOS,4.32,20200130162841,4445336068
308,Binance Coin,18.59,20200130162841,246780228
309,Cardano,0.056774,20200130162841,158695278
310,Ethereum Classic,12.16,20200130162841,3450590002
311,TRON,0.019492,20200130162841,1576848355
312,Monero,72.46,20200130162841,84796387
313,Stellar,0.062851,20200130162841,332587318
314,Tezos,1.69,20200130162841,53233913
315,Dash,123.72,20200130162841,1218616100
316,Chainlink,2.92,20200130162841,191190873
317,UNUS SED LEO,0.883604,20200130162841,9082603
318,Cosmos,4.43,20200130162841,200407979
319,Neo,11.76,20200130162841,498859283
320,IOTA,0.296754,20200130162841,28101697
321,Huobi Token,3.49,20200130162841,236096319
322,HedgeTrade,2.59,20200130162841,982177
323,Crypto.com Coin,0.052723,20200130162841,4676092
324,Zcash,67.83,20200130162841,618665737
325,Maker,542.40,20200130162841,4114886
326,Ontology,0.732976,20200130162841,112006573
327,USD Coin,1.05,20200130162841,304241028
328,NEM,0.041817,20200130162841,30107216
329,Basic Attention Token,0.222735,20200130162841,60897008
330,VeChain,0.005702,20200130162841,122399833
331,Dogecoin,0.002426,20200130162841,83586324
332,FTX Token,2.42,20200130162841,10004389
333,Paxos Standard,1.00,20200130162841,486329822
334,Qtum,2.17,20200130162841,415832724
335,Decred,19.19,20200130162841,103077348
336,Bitcoin Gold,11.82,20200130162841,35944997
337,Synthetix Network Token,1.20,20200130162841,246149
338,Augur,14.75,20200130162841,23855268
339,Ravencoin,0.027805,20200130162841,9446306
340,0x,0.230600,20200130162841,15959677
341,TrueUSD,1.00,20200130162841,779264161
342,Molecular Future,1.56,20200130162841,12091783
343,Swipe,2.02,20200130162841,75570075
344,Algorand,0.241557,20200130162841,45293620
345,OKB,3.21,20200130162841,105812722
346,ZB Token,0.277002,20200130162841,61454569
347,OmiseGO,0.879816,20200130162841,44696652
348,ICON,0.233164,20200130162841,31687594
349,Lisk,0.985262,20200130162841,5748687
350,Bitcoin Diamond,0.642852,20200130162841,6005909
351,Multi-collateral DAI,1.02,20200130162841,17829836
352,Holo,0.000649,20200130162841,9631232
353,Nano,0.745152,20200130162841,4155377
354,KuCoin Shares,1.15,20200130162841,8224020
355,Horizen,11.38,20200130162841,1648261
356,MonaCoin,1.41,20200130162841,11181886
357,THETA,0.103298,20200130162841,2928369
358,Bytom,0.089284,20200130162841,10490649
359,Waves,0.864344,20200130162841,69909516
360,V Systems,0.044781,20200130162841,6032554
361,Nervos Network,0.006498,20200130162841,4488805
362,Zcoin,8.87,20200130162841,36094209
363,Nexo,0.144411,20200130162841,13100544
364,KickToken,0.000120,20200130162841,155317
365,DigiByte,0.006236,20200130162841,1364320
366,MCO,5.02,20200130162841,16101182
367,BitTorrent,0.000370,20200130162841,78429433
368,Enjin Coin,0.097181,20200130162841,10270957
369,Komodo,0.639951,20200130162841,2398965
370,Seele,0.104018,20200130162841,31285915
371,HyperCash,1.62,20200130162841,28010133
372,Centrality,0.067286,20200130162841,47352
373,Siacoin,0.001652,20200130162841,1096306
374,IOST,0.005621,20200130162841,30919038
375,DigixDAO,33.43,20200130162841,882386
376,Verge,0.003776,20200130162841,1133222
377,ABBC Coin,0.107223,20200130162841,42946878
378,Steem,0.164032,20200130162841,1326298
379,BitShares,0.021191,20200130162841,2849451
380,DxChain Token,0.001114,20200130162841,1289145
381,MaidSafeCoin,0.122377,20200130162841,321009
382,Bytecoin,0.000300,20200130162841,16503
383,iExec RLC,0.683556,20200130162841,2241756
384,Zilliqa,0.005547,20200130162841,7619864
385,Terra,0.188461,20200130162841,4212147
386,Quant,4.39,20200130162841,2536809
387,Kyber Network,0.303239,20200130162841,5704353
388,Aeternity,0.174356,20200130162841,8895095
389,RIF Token,0.087401,20200130162841,6422431
390,Matic Network,0.018111,20200130162841,31296259
391,Energi,1.81,20200130162841,451189
392,Ardor,0.045334,20200130162841,1928455
393,Electroneum,0.004435,20200130162841,187284
394,BlockStamp,1.59,20200130162841,138613
395,Yap Stone,0.276540,20200130162841,8559242
396,Crypterium,0.400598,20200130162841,165707
397,Status,0.010971,20200130162841,11795449
398,Beam,0.699660,20200130162841,31865661
399,Golem,0.038444,20200130162841,2031293
400,Bitcoin,9538.34,20200130162820,32110558622
401,Ethereum,184.12,20200130162820,12235705935
402,XRP,0.243800,20200130162820,2075303495
403,Bitcoin Cash,391.72,20200130162820,4000595087
404,Bitcoin SV,296.04,20200130162820,2648122076
405,Tether,1.00,20200130162820,43526357687
406,Litecoin,69.07,20200130162820,5913595614
407,EOS,4.31,20200130162820,4443226879
408,Binance Coin,18.59,20200130162820,246570561
409,Cardano,0.056816,20200130162820,158812024
410,Ethereum Classic,12.16,20200130162820,3451020173
411,TRON,0.019492,20200130162820,1576551181
412,Monero,72.40,20200130162820,84722994
413,Stellar,0.062804,20200130162820,332555858
414,Tezos,1.69,20200130162820,53219469
415,Dash,123.71,20200130162820,1219712037
416,Chainlink,2.92,20200130162820,191487963
417,UNUS SED LEO,0.882957,20200130162820,9088466
418,Cosmos,4.42,20200130162820,201044767
419,Neo,11.76,20200130162820,498937315
420,IOTA,0.296782,20200130162820,28130191
421,Huobi Token,3.49,20200130162820,235784261
422,HedgeTrade,2.59,20200130162820,982460
423,Crypto.com Coin,0.052666,20200130162820,4668298
424,Zcash,67.87,20200130162820,619524407
425,Maker,541.17,20200130162820,4104305
426,Ontology,0.732920,20200130162820,112254220
427,USD Coin,1.05,20200130162820,304245844
428,NEM,0.041828,20200130162820,30127717
429,Basic Attention Token,0.222550,20200130162820,60830070
430,VeChain,0.005699,20200130162820,122307190
431,Dogecoin,0.002428,20200130162820,83622917
432,FTX Token,2.42,20200130162820,10015944
433,Paxos Standard,1.00,20200130162820,486320891
434,Qtum,2.17,20200130162820,415955995
435,Decred,19.18,20200130162820,102974677
436,Bitcoin Gold,11.80,20200130162820,35898373
437,Synthetix Network Token,1.20,20200130162820,246160
438,Augur,14.74,20200130162820,23829897
439,Ravencoin,0.027799,20200130162820,9438655
440,0x,0.230511,20200130162820,15950214
441,TrueUSD,1.00,20200130162820,780408100
442,Molecular Future,1.56,20200130162820,12075364
443,Swipe,2.01,20200130162820,75816684
444,Algorand,0.241672,20200130162820,45324424
445,OKB,3.21,20200130162820,105794573
446,ZB Token,0.276834,20200130162820,61312472
447,OmiseGO,0.879625,20200130162820,44689481
448,Lisk,0.994338,20200130162820,5781819
449,ICON,0.233234,20200130162820,31822202
450,Bitcoin Diamond,0.645365,20200130162820,6001905
451,Multi-collateral DAI,1.02,20200130162820,17810307
452,Holo,0.000648,20200130162820,9619762
453,Nano,0.745582,20200130162820,4157536
454,KuCoin Shares,1.15,20200130162820,8223651
455,Horizen,11.37,20200130162820,1647507
456,MonaCoin,1.41,20200130162820,11105263
457,THETA,0.103252,20200130162820,2922785
458,Bytom,0.089379,20200130162820,10488819
459,Waves,0.863758,20200130162820,69901804
460,Nervos Network,0.006494,20200130162820,4491892
461,V Systems,0.044691,20200130162820,6024079
462,Zcoin,8.88,20200130162820,36112786
463,Nexo,0.144246,20200130162820,13113395
464,KickToken,0.000120,20200130162820,155308
465,DigiByte,0.006250,20200130162820,1366869
466,MCO,5.02,20200130162820,16104619
467,BitTorrent,0.000370,20200130162820,78497113
468,Enjin Coin,0.096964,20200130162820,10247466
469,Komodo,0.640110,20200130162820,2398572
470,Seele,0.104026,20200130162820,31297156
471,HyperCash,1.62,20200130162820,28076975
472,Centrality,0.067317,20200130162820,47391
473,Siacoin,0.001647,20200130162820,1093046
474,IOST,0.005618,20200130162820,30952449
475,DigixDAO,33.42,20200130162820,882449
476,Verge,0.003775,20200130162820,1132740
477,ABBC Coin,0.107256,20200130162820,42972042
478,Steem,0.163759,20200130162820,1325692
479,BitShares,0.021155,20200130162820,2846912
480,MaidSafeCoin,0.122488,20200130162820,321899
481,Bytecoin,0.000300,20200130162820,16510
482,DxChain Token,0.001102,20200130162820,1278124
483,Zilliqa,0.005552,20200130162820,7628794
484,iExec RLC,0.681653,20200130162820,2234801
485,Terra,0.188169,20200130162820,4206751
486,Quant,4.38,20200130162820,2533821
487,Kyber Network,0.302230,20200130162820,5704911
488,Aeternity,0.174356,20200130162820,8892675
489,RIF Token,0.087449,20200130162820,6423194
490,Matic Network,0.018116,20200130162820,31322079
491,Energi,1.81,20200130162820,451303
492,Ardor,0.045351,20200130162820,1925915
493,Electroneum,0.004435,20200130162820,187260
494,Yap Stone,0.279355,20200130162820,8657205
495,BlockStamp,1.59,20200130162820,137691
496,Crypterium,0.400304,20200130162820,164962
497,Status,0.010965,20200130162820,11791566
498,Beam,0.699740,20200130162820,31880383
499,Aidos Kuneen,1.51,20200130162820,4737248
